Hot Job?,Job,Salary,Location,Details
hot job,"Urgent Java Web Dev (Spring, JavaScript)",You'll love it,"Ha Noi, Cau Giay","We are searching for 01 Java Web Developer. The job will perform following tasks: - Participates in design, development, implementation and maintenance..."
hot job,"Frontend Dev (JavaScript, HTML5, CSS)","700 - 1,500 USD","Ha Noi, Dong Da","Phát triển, maintain các ứng dụng web. Tham gia xây dựng các giải pháp, viết các phần mềm theo yêu cầu của công ty. Sử dụng Frontend Javascript tham gia..."
hot job,03 NodeJS Developer (Javascript),"1,000 - 3,000 USD","Ho Chi Minh, District 4","Develop and provide API for BAEMIN service; Work using TypeScript, Node.js, MongoDB, Redis, AWS; Collaborating with the front-end developers and other..."
hot job,"Web Developers (Java, Javascript)",Upto 2000$,"Ho Chi Minh, District 1",Transaction Technologies Limited (TTL) là công ty phần mềm chuyên cung cấp giải pháp cho các định chế tài chính tại các trung tâm tài...
hot job,"Game SDK Tech Lead (JavaScript, HTML5)",You'll love it,"Ho Chi Minh, Binh Thanh","OBJECTIVES YOU NEED TO GET WITH THIS JOB The Game SDK TechLead will help to build and improve SDKs on mobile games (HTML5 on iOS, Android) used by..."
hot job,"Frontend Team Leader (JavaScript, HTML5)","25,000,000 - 50,000,000","Ha Noi, Ho Chi Minh","Strong front-end team leader Self-motivating individual with strong analytical, design and architecture skills Effective written and verbal..."
hot job,03 PHP Developer (JavaScript/HTML5),You'll love it,"Ha Noi, Thanh Xuan","- Làm việc theo sự phân công của Trưởng nhóm/Quản lý dự án, phối hợp giữa các nhóm để phát triển sản phẩm. - Training các kiến thức mà mình đã làm hoặc..."
hot job,"NodeJS Developer (JavaScript, NoSQL)",Up to 3000$,"Ha Noi, Nam Tu Liem","Tham gia team Dev Back-end cho platform Merchize. Phân tích yêu cầu dự án, lên kế hoạch phát triển sản phẩm. Triển khai các..."
hot job,Sr OutSystem Dev (JavaScript/ PHP/ .NET),You will love it!,"Ho Chi Minh, District 1",Web developers will build and test collaborative applications that provide business solutions to our customers. This role will master in new technology...
hot job,"Senior Front End (JavaScript, ReactJS)",You'll love it,"Ho Chi Minh, District 3","Day to Day You will find yourself working in a dynamic, cross functional team with designers and product management along with other front-end,..."
hot job,"PHP Dev (JavaScript, Laravel, OOP)",You'll love it,"Ho Chi Minh, Binh Thanh",Work closely with Product team to gather and define the functional requirements for new product/features and work with QC and System team to test and...
hot job,"Frontend Dev (ReactJS/JavaScript, HTML5)","Up to $1,600 usd","Ha Noi, Ba Dinh","We are seeking a FrontEnd developer, who will work closely with our product managers, UI / UX designers, QA and other developers to help translate..."
hot job,"Frontend Dev (VueJS,Angular,JavaScript)","600 - 1,200 USD","Ha Noi, Cau Giay","• Tham gia dự án với vai trò Lập trình viên Frontend (VueJS, Angular).  • Tham gia lập trình xây dựng sản phẩm phần mềm Quản lý khách hàng với công nghệ..."
hot job,"Senior Frontend Devs (Javascript, HTML)","Up to $1,500","Ho Chi Minh, District 1","We are looking for Frontend Talents to join our team and develop systems for biggest services of Yahoo! JAPAN, has millions daily users Communicate..."
hot job,Front-End Leader (ReactJS/JavaScript),You'll love it,"Ho Chi Minh, District 10",We are looking for the Technical Lead position who can help us to build the OTT platform and company websites. The candidate is required to have...
hot job,05 Frontend Engineer (JavaScript/HTML),From 2000 usd ++,"Ho Chi Minh, District 1",WHAT WILL YOU DO Build and deploy performant modern web applications. Convert from design/prototype to responsive interface on the web. Participant in...
hot job,"05 Senior Devs (Java, JavaScript, Scala)","1,000 - 3,000 USD","Ha Noi, Cau Giay","- Developing and maintaining Septeni Group's strategic products, responsible for writing maintainable, high performance and robust web based systems."
hot job,Sr FullStack Dev (ReactJS/ JavaScript),Up to 3000$,"Ho Chi Minh, District 1",Shift Asia is a leading company in Software Testing. We are building a new team of talented engineer to extend the software development service. We...
hot job,Senior Angular Developer (JavaScript),"1,000 - 2,500 USD","Ho Chi Minh, District 7",Maintains and upgrades many interesting current company's products Develops new company's products on demand Cooperates with back-end development and QA...
hot job,"[Up to 1500$] PHP Dev(JavaScript, MySQL)",Up to 1500$,"Ha Noi, Dong Da","Phát triển, maintain các ứng dụng web trên nền PHP Lập trình các module tính năng theo bản phân tích thiết kế Tham gia xây dựng các giải pháp, viết các..."
hot job,Sr. Java Developer (JavaScript/SQL/CSS),"1,500 - 1,900 USD","Ho Chi Minh, Phu Nhuan","Investigate, analyze, design, and estimate new features based on written specification. Implementing the feature, full stack, working independently with..."
hot job,Front-end Developer - Upto $1300,"800 - 1,300 USD","Ha Noi, Hoan Kiem","Bạn sẽ quyết định frontend của một trong những sản phẩm thành công của chúng tôi, tạo ra những tác động nổi bật sẽ trao quyền cho hàng ngàn Thương mại..."
hot job,Software Engineer for Java - JD109,"1,000 - 2,000 USD","Ha Noi, Ba Dinh","- Tham gia phát triển phần mềm cho các hệ thống và giải pháp công nghiệp của tập đoàn Toshiba trong các lĩnh vực: Năng lượng, Hệ thống & Giải pháp..."
hot job,Backend Developer,You'll love it,"Ho Chi Minh, Phu Nhuan","Collaborate other product team members to create secure, reliable, scalable software solutions. Identify unsecured code areas and implement fixes...."
hot job,Senior Web Developers (PHP / Ruby),"1,500 - 3,000 USD","Ho Chi Minh, Da Nang","Lead a team of developers in a project squad. We have a wide range of project sizes. Decide which technologies are going to be used for front-end,..."
hot job,Jr./Sr. React Native Mobile Engineer,From $800,"Ho Chi Minh, Binh Thanh",We are Foodconnection Vietnam (FCV). We are small; we are focused on and looking for an amazing developer to join the team. The React Native Engineer...
hot job,Front End Dev (Angular 2+),Negotiate,"Ho Chi Minh, District 12","Develop Progressive Web Apps and Responsive Web Apps for cloud/ IoT/ pharma applications using latest technologies such as Angular 2+, React, UI5, Vue..."
hot job,Python/Django Developer (Junior/Senior),"900 - 1,500 USD","Ha Noi, Dong Da",Tham gia trực tiếp vào các dự án nghiên cứu và phát triển sản phẩm phần mềm bằng ngôn ngữ Python và framework Django Thiết kế và tạo các RESTful APIs....
hot job,"Sr Dev/Tech Leader (PHP,Magento/Symfony)",1200 - 2500 usd++,"Ha Noi, Dong Da",We are seeking a Senior developer/ Technical leader who is keen to use the very latest in web technologies and experienced in developing highly polished...
hot job,Software Engineer ( Frontend ),"From $1,000","Ho Chi Minh, District 4",Keep maintainable our frontend. Improve user experience by UI-skills.
hot job,Senior Frontend Devs (VueJS),"Up to $1,500","Ho Chi Minh, District 1","We are looking for Frontend Talents to join our team and develop systems for biggest services of Yahoo! JAPAN, has millions daily users Communicate..."
hot job,"Senior NodeJS Developers - Up to $1,500","Up to $1,500","Ho Chi Minh, District 1","Develop/maintain our systems, tools for our video streaming service Communicate with colleagues across Vietnam and Japan to understand requirements,..."
hot job,Fullstack Engineer (NodeJS/ReactJS/JS),Very attractive salary,"Ho Chi Minh, Tan Binh","ABOUT US BUILD THE SMARTER WAY TO SHOP , the #1 rewards and discovery platform in Asia-Pacific, enables shoppers across the region to shop ’The..."
hot job,Front-end Developer (ReactJS),"600 - 1,800 USD","Ho Chi Minh, Tan Binh",Develop templates and prototype base on UI/UX designs Implement user interface for web applications using ReactJS  Collaborate across departments and...
hot job,Senior PHP Developer (English),"1,000 - 1,500 USD","Ho Chi Minh, District 3","  Responsible for the design, program unit test and functional test of software platform and server. Document and communicate designs, estimates, and..."
hot job,Exp. JAVA Fullstack Developer - FinTech,"1,500 - 3,000 USD","Ho Chi Minh, Tan Binh","We are looking for an Experienced or Senior IT Engineer to work with our product, design and DevOps teams to help build out the next generation of..."
hot job,Frontend Developer (Upto 2000$ Net),"500 - 2,000 USD","Ha Noi, Nam Tu Liem","– Thiết kế và triển khai front-end code của các ứng dụng web đa nền tảng Javascript bằng cách sử dụng framework/ngôn ngữ mới như React (js, native,..."
hot job,"10 FullStack Devs - Mid level (C#, .Net)","1,100 - 1,600 USD","Ho Chi Minh, District 3","Hello Developers! We are one of the fastest growing and most exciting companies in Portland Oregon, USA and HCMC Vietnam! We have had major success in..."
normal job,"ReactJS Dev (Jr/Mid) - Upto $1,500 Net","Up to $1,500","Da Nang, Ho Chi Minh","Work directly with Australian, EU client to clarify requirements Develop UI Elements to integrate with server side logic Solve technical problems..."
normal job,Sr Fullstack JavaScript (NodeJS/ReactJS),"1,600 - 2,400 USD","Ho Chi Minh, District 10","About us Nucleus Studio is an entrepreneurial firm that works with innovators to craft the future. We build digital products, transform teams, and grow..."
normal job,"Java Developer (Spring, JavaScript)",Up to $2500,"Ha Noi, Ha Dong","WEEDS KOREA cần tuyển những lập trình viên Java nhiệt tình, chuyên nghiệp, không chỉ tham gia phát triển phần mềm cho các đối tác hàng đầu Hàn Quốc mà..."
normal job,"Jr Frontend Dev (JavaScript, HTML5, CSS)",10 - 12tr,"Ho Chi Minh, District 1","Chúng tôi đang tuyển 2 Junior Frontend Developer Thiết kế Blog, Landing Page, Email, ... theo yêu cầu hoạt động Digital Marketing của công ty. Hỗ trợ..."
normal job,Senior Frontend JavaScript/VueJS/ReactJS,You'll love it,"Ho Chi Minh, Da Nang","You will be joining an awesome team to build cool applications that serve millions of users, from idea to production. As our customers are typically..."
normal job,"Web Fullstack Developer (Python, PHP)",You'll love it,"Ho Chi Minh, District 3",MINERVA TECHNOLOGY SOLUTIONS JSC là công ty cung cấp các giải pháp tổng thể dựa trên công nghệ Internet of Things (IoT) cho các lĩnh vực như nông...
normal job,Drupal Developer (Middle/Senior),You'll love it,"Ho Chi Minh, District 1",- Code complex functions in project - Coordinate the plan and modify appropriate efforts to meet the needs and requirements of the project change. -...
normal job,Backend Developer (PHP/Javascript/MySQL),"500 - 1,000 USD","Ho Chi Minh, Binh Thanh","Tham gia phát triển các dự án outsource về website và các ứng dụng trên nền web cho các khách hàng tại Hàn Quốc. Tham gia quá trình phân tích, tối..."
normal job,Wordpress Developer (PHP/JavaScript),"700 - 1,000 USD","Ho Chi Minh, District 3","Thiết kế giao diện, ứng dụng cho website trên nền tảng Wordpress - Woocommerce, PHP Quản lý nội dung trên website."
normal job,(HCM) Web Dev (Java/PHP/JavaScript),Negotiable,"Ho Chi Minh, Ha Noi",We are seeking potential developers who are motivated and dedicated web developers to work on outsourcing various e-commerce projects for well-known...
normal job,"Java Web Dev (Spring,Javascript) ~ $1500","500 - 1,500 USD","Da Nang, Ho Chi Minh","BAP Software Co., Ltd is one the leading IT outsourcing provider in central Vietnam, which is a subsidiary of BAP Group. We always aim to bring..."
normal job,Mobile App Developer [Flutter],You'll love it,"Ho Chi Minh, Other",- Full-time (3 month renewable contract )- Development of mobile Application for iOS and Android using Flutter- Full development of Live-Streaming...
normal job,"5 Web Developers (.NET, ASP.NET, C#,)",Up to 1200$,"Ho Chi Minh, District 1","Tham gia lập trình phát triển ứng dụng bằng web và ứng dụng desktop Lập trình các ứng dụng theo ngôn ngữ ASP.NET, Ajax, .Net, C# or VB Làm việc với các..."
normal job,Senior Front-end Developer (ReactJS),You'll love it,"Ha Noi, Dong Da",- Discuss more detail in the interview process
normal job,Senior Software Engineer – LAMP,You'll love it,"Ho Chi Minh, Tan Binh","The Senior Software Engineer (SSE) is responsible to write software programs from design specifications; Plans, executes and documents unit tests;..."
normal job,Full-stack Web Developer- PHP/JavaScript,You'll love it,"Ho Chi Minh, Phu Nhuan",We are responsible for developing Garoon product – collaborative software – of Cybozu Group: Developing new function Maintaining current functions...
normal job,02 Front-End Developers (ReactJS),You'll love it !,"Ho Chi Minh, Tan Binh","At Deliveree, we disrupt the logistics industry with technologies. Role Description Are you looking to be more than just an ordinary coder? Do you..."
normal job,"02 PHP Dev (JavaScript, MySQL, Laravel)",12m - 30mil,"Ha Noi, Nam Tu Liem","Tham gia phát triển các ứng dụng, nâng cấp và triển khai các sản phẩm phần mềm theo xu hướng công nghệ và theo yêu cầu khách hàng trên các nền tảng của..."
normal job,Front-End Developer (ReactJS),"800 - 1,800 USD","Ha Noi, Dong Da","Phát triển các dự án phần mềm phục vụ cho lĩnh vực tài chính, chứng khoán Đảm bảo tuân thủ kiến trúc hệ thống và yêu cầu bảo mật trong quá trình phát..."
normal job,"Frontend Developer (Javascript, NodeJS)",Competitive,"Ho Chi Minh, District 4",ZALORA Engineering is seeking a full-time Senior Frontend Engineer to work on its high profile customer-facing products. You'll be passionate about the...
normal job,Full-Stack Software Engineer,You'll love it,"Ho Chi Minh, District 4",The Transcription team is building a variety of products powered by speech-to-text technology. Our ultimate goal is to automate report writing as much...
normal job,"Java Developer (JavaScript, Spring)",You will love it,"Da Nang, Hai Chau","Work for international customers Work with colleagues from Germany, France, the Czech Republic and the US Be responsible for the success of your project..."
normal job,React Native Developer,You'll love it,"Ho Chi Minh, District 1","We are looking for Mid/Mid+ React Native/Javascript Developer who possesses a passion for developing web, mobile applications and will work with our..."
normal job,REMOTE FullStack Dev (Javascript/NodeJS),"1,000 - 2,500 USD","Ho Chi Minh, Other",- Participates in all phases of the software development lifecycle - Sometimes might lead a small team and act as a scrum master - Coaching and code...
normal job,Senior/ Lead Front-end (ReactJS/VueJS),Attractive salary,"Ho Chi Minh, Tan Binh",Your key responsibilities Love Coding Follow Your Passion Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients Take Your...
normal job,"Fullstack Dev (.NET, MySQL) Up to $1500",Up to 30m,"Ha Noi, Ha Dong","Tiếp nhận, phát triển các sản phẩm hiện có của công ty Nghiên cứu các công nghệ lập trình mới Cài đặt, vận hành sản phẩm Chi tiết công việc trao đổi cụ..."
normal job,ReactJS Frontend Developer (JavaScript),"700 - 2,500 USD","Ho Chi Minh, Phu Nhuan","We’re looking for a talented Frontend Developer (React/React Native/Nodejs) for our organization. For this role, we need people who are eager to take..."
normal job,Junior Frontend (VueJS),You'll love it,"Ho Chi Minh, Binh Thanh",About The Company Native was founded in 2018 as a mobile platform for on-demand activities and immersive experiences. The company has recently pivoted...
normal job,Fullstack Dev (NodeJS/ReactJS),You'll love it,"Ho Chi Minh, Binh Thanh",Senior/Mid-Senior/Junior Full-stack Developer. You will work on cloud based services offered by company to other business Work in microservice...
normal job,Frontend Software Engineer,You'll love it,"Ho Chi Minh, District 4","As a frontend engineer working on Evidence Viewing & Playback, you'll have the opportunity to build Axon Evidence into a world-class Digital..."
normal job,"Wordpress Developer (JavaScript, HTML5)",You'll love it,"Ho Chi Minh, Tan Binh",What you will do ● Working with team to plan and implement projects. ● Develop websites and solve the problem of source code. ● Build software...
normal job,"3 Junior Dev(Angular, NodeJS, JavaScipt)",You'll love it,"Ho Chi Minh, Binh Thanh","Developing and building applications for website projects follow request from Company. Building Frontend functions of Website, Web application using..."
normal job,Technical Architect (Java),You'll love it,"Ho Chi Minh, Tan Binh","Building highly scalable, highly available infrastructure for our application based on Infrastructure-as-Code mindset. Establishing continuous..."
normal job,PHP Frontend Developer,"1,000 - 2,000 USD","Ho Chi Minh, District 1",Requirements: ● Able to work with PHP 5.x or higher.  ● Strong knowledge in OOP and MVC.  ● Experienced with Symfony 3 & 4 / Doctrine ORM.  ● Good...
normal job,05 Frontend (Hybrid App/AngularJS/HTML5),"700 - 1,300 USD","Ho Chi Minh, District 2",Develop Web Application for Japanese Market. Details will be discussed in the interview
normal job,"Java Developer (JavaScript, SQL)","1,000 - 2,000 USD","Ho Chi Minh, Go Vap","cisbox is a rapidly expanding, dynamic company and we are looking for skilled, energetic and enthusiastic developers to contribute to our success. If..."
normal job,React Developer (React JS/Native),"1,500 - 2,200 USD","Ho Chi Minh, District 4",You will be working with one of the most established and fastest growing tech organisation from Singapore. Our office is located at District 4 Ho Chi...
normal job,Team Leader Backend (JavaScript/NodeJS),Up to $2500,"Ho Chi Minh, Go Vap","New development, upgrade services Health Care, Fitness, ... Design and develop new features. Perfect user experience. Participate in the analysis, and..."
normal job,Algorithm Engineer (Python),You'll love it,"Ha Noi, Ba Dinh","Giải quyết các vấn đề thuật toán và các bài toán NP Làm việc với các bộ phận nội bộ (nhóm làm sản phẩm, thiết kế, bán hàng) hoặc các khách hàng, nhóm..."
normal job,"Web Developer (PHP, Laravel, Javascript)","Up to 1,100 usd","Ha Noi, Cau Giay","Code giao diện các web bán hàng của công ty trên nền Wordpress và Woocommerce. Tối ưu hóa website và server, trải nghiệm người dùng, từ đó giúp tăng tỉ..."
normal job,Mid/Sr Angular Developer (JavaScript),Upto $1800 net,"Ho Chi Minh, Da Nang","Work directly with Australian, EU client to clarify requirements Develop UI Elements to integrate with server side logic Solve technical problems..."
normal job,FrontEnd Developer (JavaScript/ Angular),You'll love it,"Ho Chi Minh, Tan Binh","Sutrix Solutions is looking for Frontend Talents! Manage, develop or intergrated web/ hybrid apps Take part in system architect and database design..."
normal job,Sr. Full-stack JAVA (JavaScript/DevOps),"1,000 - 2,000 USD","Ho Chi Minh, District 1",This is a truly outstanding opportunity to be part of a core Software R&D team of highly innovative and professional people developing industry...
normal job,(HCM) Front-end Dev (HTML/JavaScript),Negotiable,"Ho Chi Minh, Ha Noi",• Build (X)HTML/JS/CSS from PSD or PNG source files provided by designers• Work closely with programmers/developers to integrate dynamic functions...
normal job,03 React Native Devs (NodeJS/ReactJS),"700 - 1,000 USD","Ha Noi, Thanh Xuan","Trở thành một thành viên của Dũng Mori, chính các bạn sẽ là những thành viên trực tiếp đóng góp vào sự phát triển của các dự án ứng dụng E-learning và..."
normal job,"Backend Developer (PHP,JavaScript,MySQL)",You'll love it,"Ha Noi, Dong Da",Công viêc cụ thể sẽ trao đổi khi phỏng vấn
normal job,"Mobile Devs (JavaScript, C#, Unity)",You'll love it,"Ha Noi, Ba Dinh",- Cơ hội tham gia từ giai đoạn nghiên cứu đến triển khai sản phẩm của siêu dự án phát triển phần mềm cho khách hàng Nhật Bản là các ứng dụng mobile đa...
normal job,Senior Salesforce Developer (JavaScript),"1,500 - 2,500 USD","Ho Chi Minh, District 4","You will be working with the largest publishing and tech organisation from Singapore. Your working location is at District 4, Ho Chi Minh City. You..."
